SSRL-132,37.41821289,-122.2013469,BL 13 rolling block door,0,1,BA00039688Q,1,7/1/19,7/30/19,1/28/20,0,7/30/19,1/28/20,0
SSRL-132,37.41856011,-122.2005017,BL 13 rolling block door,0,1,BA00131016K,1,1/1/19,7/11/19,7/30/19,0,7/11/19,7/30/19,0
SSRL-133,37.41820927,-122.2012539,BL 14 HPI: wall,0,0,,,,7/11/19,7/11/19,,7/11/19,7/11/19,0
SSRL-134,37.41821289,-122.2011933,BL 14-1 HPI: roof,0,1,BA001621658,0,7/1/20,7/17/20,7/17/20,,7/17/20,7/17/20,0
SSRL-134,37.41818237,-122.2013449,BL 14 HPI: roof,0,1,BA00130126I,1,1/1/20,1/31/20,7/17/20,0,1/31/20,7/17/20,0
SSRL-134,37.41824341,-122.2012519,BL 14 HPI: roof,0,1,BA00089643U,1,7/1/19,8/14/19,1/31/20,0,8/14/19,1/31/20,0
SSRL-134,37.41859384,-122.2014255,BL 14 HPI: roof,0,1,BA00132263G,1,1/1/19,7/11/19,8/14/19,0,7/11/19,8/14/19,0
SSRL-135,37.41818237,-122.2013662,BL  14-2 control station,0,1,BA00191674U,0,7/1/20,7/15/20,7/15/20,,7/15/20,7/15/20,0
SSRL-135,37.41818237,-122.2013728,BL  14-2 control station,0,1,BA00202004T,1,1/1/20,1/28/20,7/15/20,0,1/28/20,7/15/20,0
SSRL-135,37.41818237,-122.2013888,BL  14-2 control station,0,1,BA001189119,1,7/1/19,8/6/19,1/28/20,0,8/6/19,1/28/20,0
SSRL-135,37.41834507,-122.201249,BL  14-2 control station,0,1,BA002018846,1,1/1/19,7/11/19,8/6/19,0,7/11/19,8/6/19,0
SSRL-136,37.41821289,-122.2012387,BL 14-0 front of hutch door,0,1,BA00013325I,0,7/1/20,7/15/20,7/15/20,,7/15/20,7/15/20,0
SSRL-136,37.41818237,-122.2013683,BL 14-0 front of hutch door,0,1,BA00218647Z,1,1/1/20,1/28/20,7/15/20,0,1/28/20,7/15/20,0
SSRL-136,37.41821289,-122.2013562,BL 14-0 front of hutch door,0,1,BA000393191,1,7/1/19,8/6/19,1/28/20,0,8/6/19,1/28/20,0
SSRL-136,37.4186248,-122.2011928,BL 14-0 front of hutch door,0,1,BA00136240K,1,1/1/19,7/11/19,8/6/19,0,7/11/19,8/6/19,0
SSRL-137,37.41815186,-122.2014471,Bldg 130 room 207 adj moderator,0,1,BA00169078W,0,7/1/20,7/30/20,7/30/20,,7/30/20,7/30/20,0
SSRL-137,37.41815186,-122.2014215,Bldg 130 room 207 adj moderator,0,1,BA00183716U,1,1/1/20,2/3/20,7/30/20,0,2/3/20,7/30/20,0
SSRL-137,37.41815186,-122.2014913,Bldg 130 room 207 adj moderator,0,1,BA00056675W,1,7/1/19,8/23/19,2/3/20,0,8/23/19,2/3/20,0
SSRL-137,37.41826978,-122.2005886,Bldg 130 room 207 adj moderator,0,1,BA00094287T,1,1/1/19,7/11/19,8/23/19,0,7/11/19,8/23/19,0
