LocationID (QRCode),Latitude,Longitude,Description,Moderator (0/1),Active (0/1),Dosimeter,Collected Flag (0/1),Wear Period,System_Date Deployed,System_Date Collected,Mismatch (0/1), my_Date Deployed, my_Date Collected, recordID
SSRL-002,37.41806030,-122.20163067,BLDG 140 - floor: LINAC vault shield wall adj near klystron #2 ,1,1,BA00191279S,0,7-1-2021,08/06/2021,08/06/2021,,08/06/2021,08/06/2021, FF3F1824-8E08-48C3-A7F9-76727F91D926
SSRL-002,37.41812134,-122.20168292,BLDG 140 - floor: LINAC vault shield wall adj near klystron #2 ,1,1,BA00066565X,1,1-1-2021,01/12/2021,08/06/2021,0,01/12/2021,08/06/2021, 576C919A-A93A-4E34-B084-2E3482A49E42
SSRL-003,37.41806030,-122.20159884,BLDG 140 - floor: LINAC shield wall adj to diagnostic room PPS door,0,1,BA00191158Y,0,7-1-2021,08/06/2021,08/06/2021,0,08/06/2021,08/06/2021, 8BABAF86-A6C4-4030-8DE3-56E64CCD2BCD
SSRL-003,37.41812134,-122.20171772,BLDG 140 - floor: LINAC shield wall adj to Faraday cup vault,0,1,BA000199044,1,1-1-2021,01/12/2021,08/06/2021,0,01/12/2021,08/06/2021, F2C3F7EA-4CDA-4422-B8B4-337C1960B472
SSRL-004,37.41812134,-122.20164106,BLDG 140 - roof: LINAC shielded roof above Faraday cup - near BSOIC,1,1,BA00089513Z,0,7-1-2021,08/09/2021,08/09/2021,,08/09/2021,08/09/2021, D079F128-83B6-45B4-84F0-E5A61E3DCB95
SSRL-004,37.41787720,-122.20226795,BLDG 140 - roof: LINAC shielded roof above Faraday cup - near BSOIC,1,1,BA00075873T,1,1-1-2021,01/25/2021,08/09/2021,0,01/25/2021,08/09/2021, 1052BABF-1ACE-40F8-81B0-AE785F5E9E1E
SSRL-005,37.41812134,-122.20162155,BLDG 140 - roof: LINAC shielded roof above BT1 screen,1,1,BA000464554,0,7-1-2021,08/09/2021,08/09/2021,,08/09/2021,08/09/2021, C3449EF8-082A-4F95-A9D0-B811016C4ECF
SSRL-005,37.41799927,-122.20197533,BLDG 140 - roof: LINAC shielded roof above BT1 screen,1,1,BA00196767I,1,1-1-2021,01/25/2021,08/09/2021,0,01/25/2021,08/09/2021, CF319767-CAD2-47B5-9090-61F4028BDF90
SSRL-006,37.41799927,-122.20168447,BLDG 140 - 5': South wall adj to area work station,1,1,BA00046216A,0,7-1-2021,08/06/2021,08/06/2021,,08/06/2021,08/06/2021, 17BDEB95-175F-42F0-99AB-8952ED29DFAE
SSRL-006,37.41812134,-122.20170314,BLDG 140 - 5': South wall adj to area work station,1,1,BA00025025K,1,1-1-2021,01/12/2021,08/06/2021,0,01/12/2021,08/06/2021, 25E817CE-AACD-4201-A73C-A55AAD19AEA8
